#DATA: Variable:/CELL/MEMBRANE:Vm:Value
#SIZE: 5 800
#LABEL: t	value	avg	min	max
#NOTE: 
#
#----------------------
0.000000000000000e+00	-8.672869110107422e+01	-8.672766876220703e+01	-8.672869110107422e+01	-8.672757720947266e+01	
1.000000000000000e+00	-8.672770690917969e+01	-8.672775268554688e+01	-8.672779083251953e+01	-8.672770690917969e+01	
2.000000000000000e+00	-8.672779083251953e+01	-8.672782897949219e+01	-8.672786712646484e+01	-8.672779083251953e+01	
3.009999990463257e+00	-8.672786712646484e+01	-8.672789764404297e+01	-8.672793579101562e+01	-8.672786712646484e+01	
4.010000228881836e+00	-8.672793579101562e+01	-8.672795867919922e+01	-8.672798919677734e+01	-8.672793579101562e+01	
5.010000228881836e+00	-8.672798919677734e+01	-8.672801971435547e+01	-8.672804260253906e+01	-8.672798919677734e+01	
6.010000228881836e+00	-8.672804260253906e+01	-8.672807312011719e+01	-8.672809600830078e+01	-8.672804260253906e+01	
7.010000228881836e+00	-8.672809600830078e+01	-8.672811889648438e+01	-8.672814178466797e+01	-8.672809600830078e+01	
8.010000228881836e+00	-8.672814178466797e+01	-8.672816467285156e+01	-8.672818756103516e+01	-8.672814178466797e+01	
9.010000228881836e+00	-8.672818756103516e+01	-8.672821044921875e+01	-8.672822570800781e+01	-8.672818756103516e+01	
1.001000022888184e+01	-8.672822570800781e+01	-8.672824859619141e+01	-8.672826385498047e+01	-8.672822570800781e+01	
1.101000022888184e+01	-8.672826385498047e+01	-8.672828674316406e+01	-8.672830200195312e+01	-8.672826385498047e+01	
1.201000022888184e+01	-8.672830200195312e+01	-8.672832489013672e+01	-8.672834014892578e+01	-8.672830200195312e+01	
1.301000022888184e+01	-8.672834014892578e+01	-8.672835540771484e+01	-8.672837066650391e+01	-8.672834014892578e+01	
1.401000022888184e+01	-8.672837066650391e+01	-8.672838592529297e+01	-8.672840118408203e+01	-8.672837066650391e+01	
1.501000022888184e+01	-8.672840118408203e+01	-8.672840881347656e+01	-8.672842407226562e+01	-8.672840118408203e+01	
1.601000022888184e+01	-8.672842407226562e+01	-8.672843933105469e+01	-8.672844696044922e+01	-8.672842407226562e+01	
1.701000022888184e+01	-8.672844696044922e+01	-8.672846221923828e+01	-8.672846984863281e+01	-8.672844696044922e+01	
1.800000000000000e+01	-8.672846984863281e+01	-8.672848510742188e+01	-8.672849273681641e+01	-8.672846984863281e+01	
1.900000000000000e+01	-8.672849273681641e+01	-8.672850036621094e+01	-8.672850799560547e+01	-8.672849273681641e+01	
2.000000000000000e+01	-8.672850799560547e+01	-8.672851562500000e+01	-8.672852325439453e+01	-8.672850799560547e+01	
2.100000000000000e+01	-8.672852325439453e+01	-8.672853088378906e+01	-8.672853851318359e+01	-8.672852325439453e+01	
2.200000000000000e+01	-8.672853851318359e+01	-8.672854614257812e+01	-8.672855377197266e+01	-8.672853851318359e+01	
2.300000000000000e+01	-8.672855377197266e+01	-8.672855377197266e+01	-8.672856140136719e+01	-8.672855377197266e+01	
2.400000000000000e+01	-8.672856140136719e+01	-8.672856140136719e+01	-8.672856903076172e+01	-8.672856140136719e+01	
2.500000000000000e+01	-8.672856903076172e+01	-8.672856903076172e+01	-8.672856903076172e+01	-8.672856903076172e+01	
2.600000000000000e+01	-8.672856903076172e+01	-8.672857666015625e+01	-8.672857666015625e+01	-8.672856903076172e+01	
2.700000000000000e+01	-8.672857666015625e+01	-8.672857666015625e+01	-8.672857666015625e+01	-8.672857666015625e+01	
2.800000000000000e+01	-8.672857666015625e+01	-8.672857666015625e+01	-8.672857666015625e+01	-8.672857666015625e+01	
2.900000000000000e+01	-8.672857666015625e+01	-8.672857666015625e+01	-8.672857666015625e+01	-8.672857666015625e+01	
3.000000000000000e+01	-8.672857666015625e+01	-8.672856903076172e+01	-8.672857666015625e+01	-8.672856903076172e+01	
3.100000000000000e+01	-8.672856903076172e+01	-8.672856903076172e+01	-8.672856903076172e+01	-8.672856140136719e+01	
3.200000000000000e+01	-8.672856140136719e+01	-8.672856140136719e+01	-8.672856140136719e+01	-8.672855377197266e+01	
3.300000000000000e+01	-8.672855377197266e+01	-8.672855377197266e+01	-8.672855377197266e+01	-8.672854614257812e+01	
3.400000000000000e+01	-8.672854614257812e+01	-8.672853851318359e+01	-8.672854614257812e+01	-8.672853088378906e+01	
3.500000000000000e+01	-8.672853088378906e+01	-8.672852325439453e+01	-8.672853088378906e+01	-8.672852325439453e+01	
3.600000000000000e+01	-8.672852325439453e+01	-8.672851562500000e+01	-8.672852325439453e+01	-8.672850799560547e+01	
3.700000000000000e+01	-8.672850799560547e+01	-8.672849273681641e+01	-8.672850799560547e+01	-8.672848510742188e+01	
3.800000000000000e+01	-8.672848510742188e+01	-8.672847747802734e+01	-8.672848510742188e+01	-8.672846984863281e+01	
3.900000000000000e+01	-8.672846984863281e+01	-8.672846221923828e+01	-8.672846984863281e+01	-8.672844696044922e+01	
4.000000000000000e+01	-8.672844696044922e+01	-8.672843933105469e+01	-8.672844696044922e+01	-8.672842407226562e+01	
4.100000000000000e+01	-8.672842407226562e+01	-8.672841644287109e+01	-8.672842407226562e+01	-8.672840118408203e+01	
4.200000000000000e+01	-8.672840118408203e+01	-8.672839355468750e+01	-8.672840118408203e+01	-8.672837829589844e+01	
4.300000000000000e+01	-8.672837829589844e+01	-8.672836303710938e+01	-8.672837829589844e+01	-8.672835540771484e+01	
4.400999832153320e+01	-8.672835540771484e+01	-8.672834014892578e+01	-8.672835540771484e+01	-8.672832489013672e+01	
